id,room_id/id,noted_date,temp,out/in
__export__.temp_log_36405_139a524d,Room Admin,30-09-2018 17:29,51,Out
__export__.temp_log_36382_f6ec793e,Room Admin,30-09-2018 17:13,51,Out
__export__.temp_log_45212_789ddd3b,Room Admin,16-10-2018 08:19,50,Out
__export__.temp_log_43650_d488e3d3,Room Admin,15-10-2018 07:54,50,Out
__export__.temp_log_39798_c98bf35d,Room Admin,10-10-2018 09:40,50,Out
__export__.temp_log_177075_1afebd80,Room Admin,03-12-2018 11:02,21,In
__export__.temp_log_177074_72ce2c39,Room Admin,03-12-2018 11:02,21,In
__export__.temp_log_177088_176a7230,Room Admin,03-12-2018 11:05,22,In
__export__.temp_log_177084_41b19435,Room Admin,03-12-2018 11:05,22,In
__export__.temp_log_177082_f6b9414d,Room Admin,03-12-2018 11:05,22,In
